title,genres,rating,revenue,budget,runtime,release_year,vote_count,metascore,studio,language
Shadow Signal 241,"Drama, Adventure",7.3,356970710.61,101527642.62,127.0,2021,87624,65.0,Blue Harbor,English
Broken Season 242,"Adventure, Animation",7.7,844237478.26,104500443.45,121.0,2025,374779,76.0,Blue Harbor,Spanish
Fallen Archive 243,Comedy,6.5,236168792.27,52589102.94,99.0,2024,101064,70.0,Silverline,English
Brave Season 244 Rising,"Adventure, Crime",7.2,420855517.24,75139816.38,133.0,2013,174378,63.0,Vista Peak,Spanish
Scarlet Storm 245 II,"Animation, Action",8.2,879054012.63,134866565.19,101.0,2025,406393,81.0,Twin Lantern,English
Scarlet Mirage 246 Rising,Drama,7.2,68813197.35,13692414.48,108.0,2022,122263,78.0,Northlight,Japanese
Midnight Frontier 247,Horror,7.2,45339132.74,8486956.87,113.0,2012,73588,70.0,Maple Frame,Korean
Crystal Orbit 248,"Action, Comedy, Animation",5.6,328199188.03,80093854.92,84.0,2013,110502,58.0,Aurora Motion,English
Neon Season 249 Rising,Horror,6.3,39202559.24,,82.0,2010,143863,74.0,Maple Frame,English
Shadow Signal 250 Returns,"Horror, Crime, Thriller",6.7,171418079.39,28883346.84,100.0,2019,311599,65.0,Vista Peak,English
Neon Pulse 251 II,Drama,,210788112.32,41789624.07,120.0,2022,238364,91.0,Atlas Vision,English
Fallen Legacy 252,Fantasy,6.8,420682267.81,109750056.31,137.0,2016,312475,79.0,Silverline,English
Broken Archive 253,"Animation, Adventure",7.1,755475045.73,141475894.82,106.0,2017,288168,66.0,Vista Peak,Spanish
Infinite Frontier 254,"Romance, Thriller, Crime",,165942511.57,52901375.76,110.0,2024,140240,69.0,Vista Peak,Korean
Midnight Legacy 255 Rising,"Comedy, Drama",7.3,316212098.33,61148505.15,114.0,2014,144898,71.0,Blue Harbor,Korean
Velvet Harbor 256,Animation,7.7,517709025.87,96735459.1,112.0,2010,406190,81.0,Blue Harbor,Korean
Hidden City 257,"Comedy, Sci-Fi, Action",7.5,605600320.71,90315789.25,122.0,2018,640272,72.0,Maple Frame,Vietnamese
Scarlet City 258,Romance,6.0,100912146.29,33739510.76,120.0,2011,203255,54.0,Silverline,English
Hidden Frontier 259 Reborn,Comedy,6.3,210473154.13,49130286.56,101.0,2021,190650,57.0,Atlas Vision,Korean
Brave Pulse 260 II,Adventure,6.5,887895708.22,,139.0,2018,200163,76.0,Atlas Vision,French
Fallen Echo 261,Action,7.3,1110791446.53,125803849.06,129.0,2022,133671,73.0,Blue Harbor,English
Electric Circuit 262 Rising,Adventure,6.6,,107241842.72,105.0,2023,259211,66.0,Blue Harbor,Spanish
Burning Frontier 263,"Sci-Fi, Drama",6.9,536833266.45,90031518.34,121.0,2011,144591,61.0,Twin Lantern,English
Broken City 264,Horror,6.2,42508851.48,8000000.0,100.0,2022,59485,63.0,EchoWorks,English
Hidden Voyage 265 II,"Fantasy, Adventure",6.7,500172234.65,100087510.03,111.0,2010,757617,57.0,Solaris Pictures,English
Silent City 266,Comedy,6.1,250103441.43,51127927.98,99.0,2025,87990,53.0,Aurora Motion,Spanish
Crystal Circuit 267 Returns,Thriller,6.9,264845556.91,67535575.32,119.0,2012,193581,59.0,Blue Harbor,English
Infinite City 268 Reborn,"Action, Crime",6.3,288084704.47,65483085.04,111.0,2008,164912,55.0,Maple Frame,Korean
Electric Empire 269 Rising,"Fantasy, Horror",6.5,425513571.38,79442924.66,123.0,2019,220127,67.0,Blue Harbor,Korean
Infinite Pulse 270,"Comedy, Action",7.0,675645208.0,103305586.87,100.0,2011,383910,82.0,Vista Peak,English
Neon Empire 271,Action,,955924347.34,114344381.46,127.0,2024,311105,60.0,Blue Harbor,Spanish
Hidden Kingdom 272,Drama,7.9,266956205.0,51343071.81,103.0,2024,233841,72.0,Solaris Pictures,Korean
Electric Harbor 273 Reborn,"Drama, Romance",7.8,157117667.38,37345022.4,113.0,2009,59101,74.0,Solaris Pictures,English
Velvet Mirage 274 Rising,Sci-Fi,7.4,417361656.81,98340718.11,144.0,2014,163983,75.0,EchoWorks,French
Fallen Mirage 275 II,"Horror, Comedy",5.4,85029398.09,26710528.25,87.0,2011,158721,49.0,Maple Frame,Korean
Golden Pulse 276,Comedy,5.9,222915727.39,63163796.47,121.0,2020,127337,52.0,Solaris Pictures,Spanish
Hidden City 277 Reborn,Romance,6.9,159789733.32,37959997.12,104.0,2019,125763,80.0,Blue Harbor,Spanish
Brave Harbor 278,Adventure,6.9,618399572.28,91838612.4,115.0,2023,269858,66.0,Twin Lantern,English
Hidden Orbit 279 Returns,"Sci-Fi, Action",6.9,649450978.05,92587377.27,128.0,2017,289034,69.0,Aurora Motion,English
Crystal Labyrinth 280 Rising,Crime,7.0,95833760.28,21059687.72,116.0,2022,80018,67.0,EchoWorks,Japanese
Wild Orbit 281,Romance,6.1,109825502.4,44078308.3,106.0,2014,142650,63.0,EchoWorks,French
Crystal Echo 282,"Drama, Thriller",6.8,98205164.32,33813684.58,101.0,2024,119881,67.0,Blue Harbor,English
Shadow Signal 283 Returns,Romance,7.1,87913654.58,24903060.08,111.0,2024,86132,60.0,Atlas Vision,Vietnamese
Silver Empire 284,"Sci-Fi, Action",8.1,952530887.41,127347924.94,117.0,2008,242322,82.0,EchoWorks,English
Last Formula 285 II,Thriller,6.2,98551688.15,37677780.85,118.0,2014,155486,60.0,Blue Harbor,English
Wild Archive 286 Reborn,Fantasy,6.3,369204786.71,67717545.41,130.0,2024,360364,65.0,EchoWorks,English
Hidden Circuit 287,"Fantasy, Horror",7.2,397656398.9,60572364.62,110.0,2014,272046,70.0,Vista Peak,French
Burning Empire 288 Returns,"Animation, Thriller",6.2,282464825.88,84265133.41,124.0,2016,158262,62.0,Maple Frame,Japanese
Infinite Mirage 289,Romance,6.9,224715078.53,65680685.4,110.0,2020,132506,66.0,Solaris Pictures,English
Wild Echo 290,Adventure,7.5,778467208.8,144935604.91,141.0,2008,184812,75.0,Maple Frame,Spanish
Neon Pulse 291 Returns,Comedy,6.9,,20139049.23,134.0,2012,173487,76.0,Blue Harbor,English
Infinite City 292,"Crime, Sci-Fi",7.1,286459369.51,48024989.27,134.0,2017,133208,66.0,Aurora Motion,French
Golden Storm 293 II,Romance,6.9,138298052.79,,106.0,2024,62681,67.0,Solaris Pictures,Japanese
Midnight Echo 294,Horror,6.2,147484356.94,32704423.8,114.0,2012,147979,54.0,Vista Peak,English
Hidden Archive 295 II,"Comedy, Horror",6.1,32459751.47,8410967.26,116.0,2012,86179,63.0,Twin Lantern,Spanish
Fallen Formula 296,Adventure,6.6,328815437.38,81459139.26,142.0,2011,219139,57.0,EchoWorks,Korean
Silent Circuit 297 II,Adventure,6.4,703898918.62,118482508.24,,2021,202419,58.0,Vista Peak,Korean
Burning Harbor 298,"Adventure, Action",6.6,1028262015.3,136381151.59,132.0,2023,185235,58.0,Aurora Motion,English
Last Orbit 299,,6.4,990090189.56,135461578.62,137.0,2013,277911,62.0,,English
Fallen Mirage 300 Reborn,Adventure,7.5,532696283.7,123062743.7,,2013,236238,70.0,Aurora Motion,Korean
Hidden Pulse 301,Comedy,6.6,390035985.53,81981811.7,107.0,2023,212227,59.0,Twin Lantern,Spanish
Burning Echo 302,Drama,7.2,130715362.57,46066558.6,150.0,2022,105147,67.0,Atlas Vision,English
Midnight Signal 303,"Drama, Comedy, Action",7.8,218295208.98,39673344.79,128.0,2025,117298,72.0,Atlas Vision,Spanish
Broken Frontier 304 Reborn,Drama,7.0,196587183.98,59448685.06,122.0,2015,131321,71.0,Aurora Motion,Japanese
Broken Storm 305 II,"Horror, Romance, Drama",7.5,188743274.74,43083711.55,99.0,2018,117241,66.0,Vista Peak,Vietnamese
Infinite Season 306 Returns,Fantasy,6.6,465791815.01,93374257.82,117.0,2022,98446,74.0,Northlight,Japanese
Broken City 307 Returns,"Crime, Adventure",7.3,515659582.31,93719239.19,115.0,2010,503013,72.0,Maple Frame,English
Golden Voyage 308,Crime,6.6,221420083.0,55171941.15,93.0,2011,152451,68.0,Twin Lantern,English
Silent Kingdom 309 Rising,Animation,7.0,504155150.66,98995138.56,102.0,2012,153844,70.0,Solaris Pictures,French
Crystal Pulse 310,"Crime, Fantasy",7.1,368316512.52,87930261.96,93.0,2020,101722,77.0,Maple Frame,Spanish
Midnight Storm 311 II,"Action, Comedy, Fantasy",7.1,383612281.61,74271894.86,115.0,2009,157327,69.0,EchoWorks,English
Fallen Harbor 312 Rising,Adventure,7.5,627314154.0,94507705.22,127.0,2015,251044,75.0,Vista Peak,English
Shadow Echo 313,Drama,7.7,267909764.05,42112292.27,121.0,2009,138672,80.0,Solaris Pictures,English
Shadow Storm 314,Fantasy,6.7,487808015.79,82886521.68,100.0,2019,128133,56.0,,English
Electric Circuit 315 Rising,,7.0,284265603.32,78388244.75,107.0,2014,163043,68.0,Atlas Vision,English
Burning Pulse 316,,7.6,707639968.23,83505813.82,114.0,2025,245944,,Aurora Motion,English
Golden Legacy 317,"Action, Crime",7.4,528050295.23,97566518.27,136.0,2017,131648,75.0,EchoWorks,English
Last Pulse 318 Returns,Action,6.2,810713265.49,157847822.32,123.0,2016,302905,72.0,Vista Peak,Spanish
Midnight Archive 319,"Crime, Thriller",6.1,203574696.08,64661419.18,99.0,2015,234865,58.0,Vista Peak,Spanish
Silver Mirage 320,"Comedy, Action",6.9,591365257.9,92260772.37,114.0,2017,154061,66.0,Aurora Motion,English
Shadow Season 205 Reborn,"Action, Drama",7.3,313269223.06,63804165.3,135.0,2024,146305,75.0,Vista Peak,English
Silver Circuit 107 Returns,"Drama, Comedy",7.0,255795620.64,55440904.67,135.0,2017,113579,69.0,Vista Peak,English
Shadow Season 228,"Action, Horror, Comedy",6.6,244359188.02,61454751.93,112.0,2010,164481,71.0,,English
Midnight Signal 303,"Drama, Comedy, Action",7.8,218295208.98,39673344.79,128.0,2025,117298,72.0,Atlas Vision,Spanish
Golden Orbit 086,"Drama, Action",7.9,272347734.98,59273364.44,116.0,2010,67282,71.0,Northlight,English
Silent Mirage 042 II,Horror,5.8,131093111.35,29745424.46,105.0,2024,176135,60.0,Blue Harbor,English
Neon City 057 Rising,Comedy,,166163471.59,53677203.04,82.0,2019,204802,58.0,Blue Harbor,Spanish
Infinite Mirage 114,Drama,7.3,344298686.41,86793419.49,107.0,2022,233543,74.0,Twin Lantern,English
